卡片类型,类型说明,允许被堆叠的类型,堆叠触发函数,允许的状态,是否是物品（可在商店出售，有价值，可放背包）,函数详细效果说明,,,,,,,,,,,,,,,,,,,,
场景,获取资源的途径，固定在地图上，只有人物能堆叠，堆叠后每过五秒会根据概率出现一个产物,人物,find(),"fixed,bestacked",FALSE,time后，根据可生成卡片数组和概率，生成新卡片,,,,,,,,,,,,,,,,,,,,
资源,包括调料和食物,资源,synthesis(),"fixed,dragging,bestacked",TRUE,根据已有卡片的乘积寻找组合，如果有合成路径，time后生成新卡片，同时会删除原组合中的所有卡片,,,,,,,,,,,,,,,,,,,,
道具,具有各种特殊效果,无,,"fixed,dragging",TRUE,,,,,,,,,,,,,,,,,,,,,
装备,有防具和武器，可以和遗物合成新的装备，本身可以是遗物,"遗物,装备",synthesis(),"fixed,dragging,bestacked",TRUE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑,容纳探窟者休息，固定在场景中。不同layer会出现不同建筑。,人物,rest(),fixed,FALSE,rest()在夜晚结算时，食物和水补充的情况下，恢复生命,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
